// The column headers in this file can be edited and determine the output for the next run.
Factor:	 1                       	 19000                   	 40078                   	
Var: 	 pH                      	 F.diss                  	 Ca.diss                 	
Data:	 6.64439142              	 2.17171369              	 1.55577072e2            	
Data:	 6.64439142              	 2.17171374              	 1.55577072e2            	
Data:	 6.67429476              	 2.24662443              	 1.44917716e2            	
Data:	 6.70651679              	 2.32639975              	 1.34265067e2            	
Data:	 6.74144203              	 2.41650710              	 1.23620826e2            	
Data:	 6.77955241              	 2.51931118              	 1.12987346e2            	
Data:	 6.82146970              	 2.63800206              	 1.02367645e2            	
Data:	 6.86801486              	 2.77700326              	 91.7656962              	
Data:	 6.92030236              	 2.94265483              	 81.1868896              	
Data:	 6.97989696              	 3.14441864              	 70.6388416              	
Data:	 7.04908952              	 3.39714821              	 60.1329093              	
Data:	 7.13141688              	 3.72572562              	 49.6872961              	
Data:	 7.23273030              	 4.17558108              	 39.3342071              	
Data:	 7.36364160              	 4.84010250              	 29.1390218              	
Data:	 7.54585824              	 5.94648345              	 19.2632319              	
Data:	 7.82895191              	 8.18479909              	 10.2281275              	
Data:	 8.28187827              	 13.5855614              	 3.85827416              	
